asOfDate,0-1Y,1-3Y,3-5Y,5-7Y,7-10Y,10-20Y,20+Y
2025-03-26,677717491200,868706570800,543419353900,349056681900,172094086400,924713335100,592588142600
2025-04-30,683990380800,841066677000,530131694300,348105563700,180983307200,925987532800,596260163000
2025-05-28,666530728500,858844414000,543759108600,341921864900,161455352100,952359411900,578713108200
2025-06-25,664152503200,860082159600,539805628300,341372627300,162156722700,954599836100,579108753200
2025-07-30,664235847800,858107938600,533191964400,339082392900,165142610400,955868511000,581711868500
2025-08-27,656569145700,851867771700,541475683700,336000003200,158639403100,977312398900,569637576700
2025-09-24,657355433400,847577298100,539691235500,337575131900,158639403100,979243436400,569587576700
2025-10-29,670901015900,828276233200,534949629900,340003740800,160412521100,979961275300,569995969400
2025-11-26,679342575800,828755971600,530605530400,329875190000,154680418400,1009996283300,544676238300
2025-12-24,714462581100,820981092300,532254885400,334455459400,154680418400,1011825915100,544676238300
